,state,abstinence,abortionban_anomaly,abortionban_sex,substance_poli,year,pregnancyratelt15,pregnancyrate1519,pregnancyrate40plus,abortionratelt15,abortionrate1519,abortionrate40plus,birthratelt15,birthrate1519,birthrate40plus,abortionratiolt15,abortionratio1519,abortionratio40plus,pregnancieslt15,pregnancies1519,pregnancies40plus,abortionslt15,abortions1519,abortions40plus,birthslt15,births1519,births40plus,miscarriageslt15,miscarriages1519,miscarriages40plus,populationlt15,population1519,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal
380,MI,2,1,0,0,2007,5.9,59,12.6,2.5,17.1,2.9,2.6,33.5,7.9,972,511.4,362.9,420,22030,4600,180,6390,1040,185,12497,2877,50,3140,680,71222,373289,364318,2009754,35780,125261,94.4,62.3,17.8,285.6,28630,189670
381,MI,2,1,0,0,2008,5.6,58.4,12.7,2.8,17.8,2.6,2.1,32.3,8.3,1359.6,550.6,312,390,21640,4480,200,6600,910,144,11985,2902,50,3060,670,69564,370741,351372,1973631,36050,121127,93.7,61.4,18.3,297.7,27830,185010
382,MI,2,1,0,0,2009,4.9,56.7,13,2.3,16.7,2.9,1.9,31.9,8.2,1221.6,522.9,348.1,330,20790,4410,160,6120,970,131,11709,2784,40,2950,650,68399,366494,339488,1938741,33410,117294,91.6,60.5,17.2,284.8,26800,177500
383,MI,2,1,0,0,2010,4.5,52.3,13.2,2.2,14.4,2.9,1.7,30.3,8.4,1332.7,476.5,342.1,300,18680,4420,150,5160,960,112,10835,2803,40,2680,660,66517,357470,334344,1914131,30770,114531,89.5,59.8,16.1,268.6,25980,171280
384,MI,2,1,0,0,2011,3.9,47.4,13.3,2,12.8,2.7,1.4,27.7,8.6,1375,462.9,309.6,250,16510,4430,130,4470,890,94,9658,2878,30,2380,660,65988,348218,333644,1905342,29270,114008,88.7,59.8,15.4,256.7,25730,169000
385,MI,2,1,0,0,2012,3.9,43.5,13.2,1.7,11,2.8,1.6,26.1,8.4,1055.9,422.3,333,250,14840,4360,110,3760,930,107,8913,2781,30,2160,650,65508,341133,329632,1899798,28780,113091,88.1,59.5,15.1,254.5,25500,167370
386,MI,2,1,0,0,2013,2.9,39.2,13.8,1.4,10.1,3.1,1.2,23.5,8.6,1160.9,428.7,354.8,190,13160,4450,90,3370,990,77,7872,2799,20,1910,660,65090,335654,323625,1896760,28420,113489,88.3,59.8,15,250.4,25540,167450
387,MI,2,1,0,0,2014,2.3,35.3,13.5,0.9,9.1,2.8,1.1,21,8.7,887.9,434.9,321.5,150,11690,4270,60,3030,880,69,6967,2747,20,1700,640,65532,331318,315140,1892905,28130,114375,88.9,60.4,14.9,245.9,25690,168190
388,MI,2,1,0,0,2015,2.5,31.9,13.7,1.3,7.9,2.8,0.9,19.3,8.8,1435.3,409.1,319.1,160,10490,4160,80,2600,850,59,6356,2679,20,1530,620,64491,329097,303401,1884154,27290,113312,88.1,60.1,14.5,240.9,25390,166000
389,MI,2,1,0,0,2016,1.8,29.5,14.2,0.9,7.5,2.8,0.7,17.7,9.3,1333.4,425.2,294.8,110,9660,4140,60,2460,800,43,5792,2716,10,1400,620,62006,327604,290843,1879349,26460,113315,87.8,60.3,14.1,233.5,25310,165090
390,MI,2,1,0,0,2017,2.3,27.4,15.3,1.1,7.1,2.9,0.9,16.4,10.1,1210.2,431.3,283.5,140,8890,4370,70,2290,820,57,5307,2892,20,1290,660,61767,323834,285092,1878709,26130,111426,86.5,59.3,13.9,234.5,24900,162450
391,MN,1,0,0,1,1988,6.4,69,7.7,3.3,28.7,2,2.3,31.2,4.6,1423.3,921.6,430.6,170,10610,1060,90,4420,270,63,4794,636,20,1400,150,27062,153763,139071,1020552,17400,66748,97.2,65.4,17,260.7,15090,99240
392,MN,1,0,0,1,1992,7.3,63.5,10,2.8,18.5,3,3.5,35.9,5.5,792.6,515.9,549.3,230,9210,1670,90,2690,510,109,5210,926,30,1310,240,31065,144947,167018,1037195,15090,65607,91.9,63.3,14.5,230,14630,95330
393,MN,1,0,0,1,1996,5.1,55.8,10.1,2.2,15.5,2.1,2.3,32.3,6.5,964.2,480.4,315.1,180,9360,1900,80,2600,390,81,5417,1230,20,1340,280,35958,167924,188766,1068456,13950,63700,85.9,59.6,13.1,219,14140,91790
394,MN,1,0,0,1,2000,4.9,49.7,12.6,1.8,12.5,2.6,2.5,29.9,8.1,723.8,419,321.7,180,9130,2570,70,2300,530,92,5495,1656,30,1330,380,37118,183490,204993,1083916,13940,67604,89,62.4,12.9,206.2,14910,96460
395,MN,1,0,0,1,2005,3.4,42.3,14.1,1.4,10.6,2.1,1.6,25.5,9.8,862.6,413.4,219.4,120,7910,2870,50,1980,440,58,4780,1988,20,1150,440,36620,187144,203673,1069949,13370,70919,93.3,66.3,12.5,188.5,15520,99810
396,MN,1,0,0,1,2006,3.8,44.4,14.2,1.7,10.6,2.1,1.6,27.3,9.9,1036.8,389.7,214.9,140,8290,2800,60,1980,420,58,5090,1950,20,1220,430,36125,186577,197241,1065989,13420,73525,96.6,69,12.6,182.6,16050,103000
397,MN,1,0,0,1,2007,3.9,45.5,14.2,1.5,10.9,2.2,1.9,27.9,9.8,811.5,390.4,224,140,8460,2700,50,2030,420,66,5193,1869,20,1240,420,35365,185988,190288,1062063,13480,73735,97.3,69.4,12.7,182.8,16100,103310
398,MN,1,0,0,1,2008,3.8,42.5,14.9,1.4,9.8,2.5,1.9,26.5,10.1,736,369.3,243.2,130,7850,2720,50,1800,450,66,4885,1854,20,1160,420,34778,184568,182769,1056396,12580,72421,95.4,68.6,11.9,173.7,15740,100740
399,MN,1,0,0,1,2009,2.7,39,15.5,1.3,9.1,2.2,1.1,24.1,10.9,1182.4,377.5,206.5,90,7080,2760,40,1650,400,37,4384,1934,10,1040,430,34562,181719,178092,1050519,11780,70646,93,67.2,11.2,166.8,15310,97730
400,MN,1,0,0,1,2010,3.1,35.4,15.5,1.3,7.7,2.3,1.3,22.5,10.8,1008.7,343.3,211,110,6370,2720,50,1390,400,46,4035,1901,10,950,420,34415,179586,175233,1045049,11120,68610,90.5,65.7,10.6,162.1,14830,94570
401,MN,1,0,0,1,2011,2.4,31.3,16,0.9,7.4,2.5,1.2,19.3,11,712.4,384,231,80,5620,2790,30,1330,440,42,3464,1922,10,830,430,34444,179483,174472,1045239,10690,68409,89.8,65.4,10.2,156.2,14750,93840
402,MN,1,0,0,1,2012,2.7,29.3,16,1.1,6.4,2.3,1.3,18.6,11.3,858.6,341.9,199.8,90,5190,2750,40,1130,390,43,3295,1938,10,770,430,34376,177299,171988,1045191,10130,68772,89.6,65.8,9.7,147.3,14770,93670
403,MN,1,0,0,1,2013,1.9,26.4,15.3,0.8,5.6,2.1,0.9,16.8,10.8,841.7,334.2,193.1,70,4620,2570,30,990,350,31,2950,1822,,690,400,34565,175229,168632,1048393,9570,69159,89.2,66,9.1,138.4,14790,93520
404,MN,1,0,0,1,2014,1.7,24,15.9,0.8,4.9,2.2,0.7,15.5,11.2,1268.3,317,196.7,60,4200,2620,30,860,360,23,2709,1849,,630,410,34963,174674,164603,1051269,9230,69904,89.4,66.5,8.8,132,14900,94040
405,MN,1,0,0,1,2015,1.3,21.5,16.1,0.5,4.6,2,0.6,13.7,11.6,776.6,339.7,174.1,50,3750,2590,20,810,320,22,2386,1859,,560,400,34907,174354,160494,1051835,9360,69834,89.5,66.4,8.9,134,14900,94100
406,MN,1,0,0,1,2016,1.4,20.3,17.1,0.8,4.8,2.2,0.4,12.6,12.3,1850.4,378.5,176.4,50,3560,2680,30,830,340,15,2200,1926,,520,420,34511,174826,156629,1055726,9590,69749,89.3,66.1,9.1,137.5,14910,94250
407,MN,1,0,0,1,2017,0.8,19.7,17.7,0.3,4.7,2.3,0.3,12.1,12.7,997,391.2,179.3,30,3440,2780,10,830,360,12,2113,1991,,510,430,35106,174710,157197,1063367,10100,68595,87.9,64.5,9.5,147.3,14730,93430
408,MS,2,0,1,2,1988,25.8,106.4,6.5,6.4,16,1.3,15.6,74,4.2,409,215.6,322.3,520,12050,510,130,1810,110,316,8388,327,80,1860,80,20223,113319,78753,600407,6480,42074,96,70.1,10.8,154,9060,57620
409,MS,2,0,1,2,1992,26.6,121.4,6.2,6.1,19.2,1.5,16.6,83.6,3.8,366.2,229.9,407.1,550,12800,560,130,2030,140,345,8810,342,80,1960,80,20765,105421,90607,608023,8830,42681,100.2,70.2,14.5,206.9,9420,60930
410,MS,2,0,1,2,1996,22.4,105.5,6.8,5.8,15.2,1.8,13.4,74,4,433.6,204.7,449.3,500,12040,690,130,1730,180,297,8451,406,70,1860,100,22242,114131,101902,630073,9020,40987,93.8,65.1,14.3,220.1,9100,59110
411,MS,2,0,1,2,2000,19.4,101.6,8.2,5.5,15.9,1.8,11.1,70.1,5.2,499.4,227.5,353.6,410,11640,900,120,1830,200,237,8028,567,60,1790,130,21417,114558,109912,634647,9060,44075,99,69.4,14.3,205.6,9720,62860
412,MS,2,0,1,2,2005,15,82.2,7.9,4.3,11.1,1.7,8.6,58.3,5.1,496.7,191,333.5,320,9040,860,90,1220,180,184,6411,548,50,1400,130,21409,109922,108251,617474,7930,42395,96.5,68.7,12.8,187.1,9270,59600
413,MS,2,0,1,2,2006,12,92.7,8.2,2.1,10.9,1.5,8,67.2,5.5,262.9,162.6,263.4,260,10210,860,50,1200,150,173,7404,579,40,1600,130,21524,110113,105042,610195,7880,46056,104.8,75.5,12.9,171.2,10000,63940
414,MS,2,0,1,2,2007,11.8,95.7,8.5,2.9,10.6,1.4,7.2,70.1,5.8,398.1,150.8,241.4,250,10670,860,60,1180,140,155,7811,589,40,1680,130,21455,111494,102120,609676,7850,46491,105.7,76.3,12.9,168.8,10080,64420
415,MS,2,0,1,2,2008,11.3,89.9,8.9,3.3,11.9,1.7,6.4,64,5.9,516.2,186.2,285,230,10100,880,70,1340,170,132,7193,582,30,1570,130,20710,112452,99141,608503,8210,44947,103.5,73.9,13.5,182.6,9810,62960
416,MS,2,0,1,2,2009,11.6,85.9,8.3,2.9,10.2,1.4,7,62.2,5.6,422.1,164.6,240.5,230,9590,800,60,1140,130,141,6945,547,30,1500,120,20231,111688,96847,605971,7640,42901,98.8,70.8,12.6,178,9340,59880
417,MS,2,0,1,2,2010,9,76.7,8.2,2.1,9.3,1.3,5.5,55.4,5.7,388.5,167.3,221.2,180,8410,780,40,1020,120,111,6077,543,30,1320,120,20100,109662,96094,604120,7070,40036,92.4,66.3,11.7,176.6,8710,55820
418,MS,2,0,1,2,2011,9.5,69.6,8.2,3.3,8.2,1.3,4.9,50.5,5.6,684.3,162.6,232.1,190,7390,790,70,870,130,97,5363,546,30,1160,120,19980,106215,97115,603530,6700,39860,91.5,66,11.1,168,8640,55200
419,MS,2,0,1,2,2012,8.1,63.4,8.3,2.4,7.4,1.1,4.5,46,5.9,540,161.4,186.6,160,6590,810,50,770,110,91,4781,573,20,1030,130,20278,103864,97587,602693,6280,38669,88.5,64.2,10.4,162.4,8360,53310
420,MS,2,0,1,2,2013,5.7,58.2,8.3,1.2,6.8,1.2,3.7,42.2,5.8,328.9,161.1,205.5,120,5990,810,20,700,120,74,4347,566,20,940,120,20258,102944,97316,602862,5860,38634,87.6,64.1,9.7,151.6,8310,52800
421,MS,2,0,1,2,2014,5.5,52.1,8.1,1.3,6.1,1.2,3.4,37.8,5.7,367.8,161.8,207.6,120,5310,780,30,620,110,72,3853,545,20,830,120,20886,101879,96045,601200,5540,38736,87.5,64.4,9.2,143.1,8300,52580
422,MS,2,0,1,2,2015,5.8,47.2,8.2,1.3,5.1,1.3,3.6,34.7,5.6,356.4,148,225,120,4820,770,30,520,120,74,3536,532,20,760,120,20318,101990,94341,599068,5300,38394,86.6,64.1,8.8,138.1,8210,51900
423,MS,2,0,1,2,2016,4.4,44.2,8.3,1.1,4.6,1.4,2.7,32.6,5.6,420.5,141.7,254.8,90,4510,760,20,470,130,52,3326,515,10,710,120,19465,102036,92049,595544,5100,37928,85.8,63.7,8.6,134.5,8100,51120
424,MS,2,0,1,2,2017,3.9,42.6,8.9,1.4,5.1,1,2,30.9,6.5,699.8,163.5,158.6,70,4330,810,30,510,90,38,3137,587,10,680,130,19422,101514,90847,592422,4930,37357,84.8,63.1,8.3,131.9,7960,50250
425,MO,2,1,1,1,1988,15.3,99.4,7.3,8.2,29.9,2.4,5.3,55.5,3.9,1553.8,538.8,630.3,500,18440,1200,270,5540,400,172,10284,636,60,2610,170,32736,185411,164979,1168202,23940,76492,101.1,65.5,20.5,313,17690,118120
426,MO,2,1,1,1,1992,13,99.8,7.1,5.5,21.9,1.8,5.8,63.1,4.2,936.7,348.1,435.6,460,17190,1330,190,3780,350,206,10857,794,60,2550,190,35376,172176,187570,1174101,19870,76301,96.6,65,16.9,260.4,17250,113420
427,MO,2,1,1,1,1996,10,80.9,8.5,4.1,15.5,2.1,4.6,53.2,5.2,901.6,291.9,407.4,400,15610,1770,160,3000,440,181,10262,1076,50,2350,260,39776,192857,207858,1201823,16050,73832,88.4,61.4,13.4,217.4,16370,106250
428,MO,2,1,1,1,2000,6.9,73.7,10.2,2.6,14.1,2.6,3.3,48.5,6.1,791.4,289.7,430.3,280,14960,2300,110,2850,590,134,9852,1376,40,2260,330,40364,203011,225421,1206527,17410,76463,91.9,63.4,14.4,227.7,17030,110910
429,MO,2,1,1,1,2005,5.7,62.3,10.9,2.5,11.1,2.5,2.5,41.7,6.8,969.2,266.8,365.7,240,12860,2420,100,2300,550,106,8611,1512,30,1950,360,41846,206534,222759,1193695,14900,78618,92.8,65.9,12.5,189.5,17210,110730
430,MO,2,1,1,1,2006,5.8,65.8,10.9,2.4,11.8,2.3,2.6,44.1,7,932.3,266.8,335.8,240,13710,2360,100,2450,500,107,9183,1503,30,2080,350,41309,208453,215704,1192159,15070,81385,95.8,68.3,12.6,185.2,17780,114240
431,MO,2,1,1,1,2007,5.4,66.1,10.6,2.1,12.1,2.1,2.6,44,6.9,778.5,274.8,311.9,220,13890,2210,80,2540,450,107,9244,1429,30,2100,330,40513,209941,208344,1189397,15250,81930,96.8,68.9,12.8,186.1,17910,115090
432,MO,2,1,1,1,2008,5.2,64.7,11.2,2.2,11.3,2.2,2.3,43.5,7.3,933.9,260.2,309.3,200,13610,2240,90,2380,450,92,9160,1455,30,2070,340,39511,210491,200509,1184136,15160,80963,96.1,68.4,12.8,187.3,17710,113840
433,MO,2,1,1,1,2009,3.5,59.9,10.8,1.1,10.2,2.1,1.9,40.6,7.1,585.2,252.2,296.1,140,12560,2100,40,2140,410,74,8499,1376,20,1910,320,38685,209478,193980,1179940,13550,78905,92.9,66.9,11.5,171.7,17140,109590
434,MO,2,1,1,1,2010,3.6,54.4,11.1,1.1,8.8,1.8,1.9,37.2,7.6,593.4,236.2,230.9,140,11200,2120,40,1810,340,75,7669,1458,20,1710,330,38787,205884,191720,1176983,11930,76759,89.4,65.2,10.1,155.4,16540,105230
435,MO,2,1,1,1,2011,3.7,50.5,11.2,1.6,8.2,1.8,1.6,34.6,7.7,1013.4,238.3,237.1,140,10150,2150,60,1660,350,61,6944,1472,20,1550,330,38551,200981,192200,1175263,11510,76117,88.5,64.8,9.8,151.2,16370,104000
436,MO,2,1,1,1,2012,3.4,47,11.6,1.2,7.6,1.9,1.8,32.2,7.9,657.1,235.9,241.8,130,9220,2220,50,1490,370,69,6317,1516,20,1410,340,38686,196199,191239,1173472,11080,75446,87.5,64.3,9.4,146.8,16200,102720
437,MO,2,1,1,1,2013,2.5,43.2,10.9,1,6.5,1.7,1.1,30,7.5,911.6,216.7,231.6,90,8360,2060,40,1260,330,43,5814,1413,10,1290,320,38574,193561,189320,1173565,10610,75296,86.9,64.2,9,140.9,16120,102030
438,MO,2,1,1,1,2014,2.3,38.5,11.3,0.6,5.3,1.6,1.3,27.3,8,498.5,192.6,196.6,90,7390,2110,30,1010,290,51,5232,1487,10,1150,330,39144,191957,186161,1172898,9180,75360,85.7,64.3,7.8,121.9,15990,100530
439,MO,2,1,1,1,2015,2.1,35.7,10.9,0.7,5,1.7,1.1,25.2,7.5,658.8,200.7,225.6,80,6870,1990,30,970,310,43,4838,1372,10,1060,310,38742,192343,181803,1171955,9640,75061,85.9,64,8.2,128.4,15980,100680
440,MO,2,1,1,1,2016,1.6,33.8,11.9,0.5,5.2,1.5,0.9,23.4,8.5,505.8,221.5,176.6,60,6500,2100,20,1000,270,35,4505,1504,,1000,330,37460,192353,176229,1169323,10100,74705,86.2,63.9,8.6,135.1,15950,100750
441,MO,2,1,1,1,2017,1.6,32.8,11.9,0.9,5.3,1.4,0.6,22.5,8.6,1537.7,235.6,168.2,60,6280,2090,30,1010,250,21,4301,1506,,960,330,37743,191258,175059,1170912,9690,73034,84,62.4,8.3,132.7,15580,98310
442,MT,0,0,0,0,1988,4.2,74.6,6.9,2.7,23.9,2,,40.2,4,2465,595.2,489.8,20,2130,180,10,680,50,,1150,104,,300,30,5556,28599,26100,178065,2350,11692,93.3,65.7,13.2,201,2570,16620
443,MT,0,0,0,0,1992,7.9,81.1,8.5,4.6,23.5,2.1,2.4,46,5.2,1893.6,509.7,407.1,50,2370,270,30,690,70,15,1345,166,,340,40,6214,29214,32123,179321,2810,11472,94,64,15.7,244.9,2580,16860
444,MT,0,0,0,0,1996,5.8,66.1,9.4,2.5,17.3,2,2.5,39.3,6,977.2,439.7,335.6,40,2230,360,20,580,80,18,1326,228,,320,50,7094,33773,38209,190051,2430,10856,82.6,57.1,12.8,223.8,2410,15700
445,MT,0,0,0,0,2000,3.5,59.9,10.6,2.2,14.5,2.1,,36.6,6.9,2577.9,396.8,305.6,20,2080,410,20,500,80,,1268,265,,300,60,6972,34633,38353,185318,2220,10957,84.1,59.1,12,202.6,2410,15590
446,MT,0,0,0,0,2005,4,55.4,11.7,,12.8,2,2.4,34.5,7.9,,369.6,248.2,30,1900,400,,440,70,16,1185,272,,280,60,6651,34338,34360,180875,2020,11583,89.1,64,11.2,174.4,2520,16120
447,MT,0,0,0,0,2006,3.6,57.6,12.7,1.9,11.4,2.6,,37.6,8.2,1584.3,304,314.2,20,1970,420,10,390,80,,1283,270,,300,60,6525,34158,32941,180789,2070,12508,95.6,69.2,11.4,165.1,2710,17280
448,MT,0,0,0,0,2007,2.6,55,12.2,,11.6,2.1,,35.3,8.2,,328.4,261.1,20,1870,390,,390,70,,1200,260,,280,60,6368,34037,31619,180948,2110,12439,95.3,68.7,11.7,169.6,2700,17250
449,MT,0,0,0,0,2008,3.9,59.1,11.5,1.9,11.3,1.7,,38.9,8,1283.1,289.7,214.7,20,1990,350,10,380,50,,1312,242,,300,50,5963,33698,30224,181076,2040,12594,95.9,69.6,11.3,162.3,2720,17360
450,MT,0,0,0,0,2009,1.7,57.9,12.2,,10.8,2.2,,38.4,8.1,,281.5,268.3,10,1910,350,,360,60,,1264,235,,290,50,6102,32930,28885,179917,2000,12257,94,68.1,11.1,163.3,2650,16910
451,MT,0,0,0,0,2010,4.3,52.9,12.5,1.7,9.7,2.2,2,35.1,8.4,839,276.7,268.1,30,1700,360,10,310,60,12,1128,239,,260,50,5957,32100,28515,179885,1980,12060,92.5,67,11,163.9,2610,16650
452,MT,0,0,0,0,2011,2.4,46.7,14.1,,10.4,3,,29.3,9,,355.2,329.6,10,1480,400,,330,90,,930,259,,220,60,5957,31693,28699,181080,1990,12069,92.1,66.7,11,165.1,2610,16670
453,MT,0,0,0,0,2012,3.2,44.1,12.3,,8.6,2.5,,28.8,8,,300.2,315.3,20,1360,350,,270,70,,892,228,,210,50,6023,30985,28660,181985,1820,12118,90.9,66.6,10,150.6,2610,16550
454,MT,0,0,0,0,2013,2.9,41.1,12.2,,7,2,,27.8,8.4,,253.6,233.4,20,1260,350,,220,60,,855,239,,190,50,5937,30768,28515,184059,1660,12377,90.6,67.2,9,133.9,2640,16680
455,MT,0,0,0,0,2014,1.9,39.3,14,,6.8,1.6,,26.6,10.2,,254.6,157.4,10,1190,390,,210,40,,807,285,,180,60,5935,30365,28023,185233,1520,12432,89.5,67.1,8.2,121.9,2640,16590
456,MT,0,0,0,0,2015,1.9,37.5,14.1,,6.3,2,,25.5,10,,247.4,199.1,10,1130,390,,190,50,,770,276,,170,60,6214,30200,27711,186441,1530,12583,90,67.5,8.2,121.2,2670,16780
457,MT,0,0,0,0,2016,,34.2,16.1,,5.3,2.5,,23.7,11.1,,223.2,221.4,,1040,440,,160,70,,720,305,,160,70,6173,30434,27429,188326,1540,12282,87.2,65.2,8.2,125.1,2610,16430
458,MT,0,0,0,0,2017,1.9,31.8,14.7,,5.9,2.1,,21.1,10.3,,278.2,208.2,10,970,410,,180,60,,645,290,,150,60,6138,30542,28141,191201,1510,11799,82.7,61.7,7.9,128,2510,15820
459,NE,0,0,0,0,1988,7.1,76.9,7.3,2.9,27.9,1.9,3.2,38.5,4.4,914.1,723.6,428.9,70,4350,350,30,1580,90,34,2179,211,,590,50,10576,56594,48265,353857,5490,23907,98.1,67.6,15.5,229.6,5330,34730
460,NE,0,0,0,0,1992,7.2,70.9,8.4,3.2,19.5,2.1,3.2,41.1,5.1,1000.4,475.2,409.3,80,3940,490,40,1090,120,36,2285,294,10,570,70,11427,55545,58090,358079,4950,23397,93.6,65.3,13.8,211.6,5170,33520
461,NE,0,0,0,0,1996,5.2,61.9,9.1,1.5,13.8,1.4,3,38.9,6.2,484.1,353.1,228.6,70,3870,580,20,860,90,39,2434,403,,570,90,12948,62502,64576,367242,3930,23286,87.9,63.4,10.7,168.8,5050,32270
462,NE,0,0,0,0,2000,5.2,58.7,10.6,1.9,12.3,1.8,2.6,37.6,7.2,717.5,327.3,244.3,70,3860,710,20,810,120,34,2477,480,,580,110,12955,65804,66652,365044,3920,24646,92.8,67.5,10.7,159.1,5320,33890
463,NE,0,0,0,0,2005,4.4,48.2,10.8,1.3,7.7,1.6,2.5,33.1,7.5,516.8,233.5,208.8,50,3130,690,20,500,100,31,2147,483,,480,110,12600,64914,64051,357665,2990,26145,96.9,73.1,8.4,114.4,5530,34660
464,NE,0,0,0,0,2006,4,46.3,12.2,0.9,6.4,1.4,2.6,32.8,8.9,344.9,195.1,162.6,50,2990,750,10,410,90,32,2112,543,,460,120,12545,64478,61237,356094,2690,26727,98.4,75.1,7.6,100.7,5610,35030
465,NE,0,0,0,0,2007,3.7,49.2,11.2,1.3,6.1,1.1,1.9,35.5,8.4,657.2,171.5,127,40,3170,660,20,390,60,23,2280,492,,500,100,12066,64297,58694,354570,2500,26934,98.9,76,7.1,92.8,5640,35070
466,NE,0,0,0,0,2008,3.5,50.6,13.9,1.1,6.9,1.6,1.9,35.8,10.2,572.3,191.8,153.2,40,3230,790,10,440,90,23,2286,575,,500,120,12139,63772,56419,353716,2850,26989,100.4,76.3,8.1,105.5,5680,35520
467,NE,0,0,0,0,2009,3.5,49,13.1,0.9,6.6,1.7,2.2,34.8,9.3,396.1,189.8,187.1,40,3110,720,10,420,100,26,2209,512,,480,110,12056,63547,55061,354073,2630,26936,99.5,76.1,7.4,97.5,5650,35210
468,NE,0,0,0,0,2010,3.2,43.2,12.7,1.2,5.3,1.5,1.5,31.1,9.2,814.1,171.6,159.3,40,2720,690,10,340,80,18,1958,503,,430,110,11903,63001,54522,355349,2410,25918,95,72.9,6.8,92.9,5420,33750
469,NE,0,0,0,0,2011,2.4,39.6,13.3,0.9,6.1,1.6,1.2,27.4,9.6,768.5,222.5,161,30,2500,730,10,390,90,14,1731,528,,380,110,11883,63098,54769,356947,2550,25720,94.3,72.1,7.1,99.2,5400,33670
470,NE,0,0,0,0,2012,2.5,37.3,14.8,,4.8,1.7,1.4,26.7,10.8,,181.6,162,30,2340,820,,300,100,17,1671,593,,360,130,12051,62626,55113,358745,2510,25942,94.5,72.3,7,96.7,5440,33890
471,NE,0,0,0,0,2013,2.3,34.9,13.5,0.9,4.6,1.3,1.1,24.9,10,863.9,185.3,130.7,30,2180,740,10,290,70,13,1552,550,,340,120,12089,62342,54903,360808,2440,26095,94.2,72.3,6.8,93.7,5460,34000
472,NE,0,0,0,0,2014,2.9,30.8,14,0.8,3.7,1.7,1.7,22.3,10.1,494.2,165,170.4,40,1920,760,10,230,90,21,1390,548,,300,120,12469,62333,54438,363045,2360,26794,95.7,73.8,6.5,87.9,5590,34740
473,NE,0,0,0,0,2015,1.5,30.4,14.7,,3.5,1.4,,22.1,11,,157.7,125.6,20,1910,790,,220,70,,1388,593,,300,130,12618,62667,53986,364835,2260,26679,94.6,73.1,6.2,84.7,5560,34500
474,NE,0,0,0,0,2016,1.6,26.3,14.7,,3,1.4,1,19.2,11,,158.2,131.8,20,1670,790,,190,80,13,1213,586,,260,120,12583,63290,53467,367484,2170,26589,93.3,72.4,5.9,81.5,5530,34290
475,NE,0,0,0,0,2017,1.4,25.4,14,,3.2,1.5,,18.2,10.4,,178.7,140.9,20,1620,750,,210,80,,1158,555,,250,120,12859,63733,53541,369247,2250,25821,90.6,69.9,6.1,87.2,5390,33460
476,NV,0,0,0,1,1988,16.1,139.4,10.2,8.8,56.9,3.9,5.3,64,4.9,1670.4,888.4,797,100,4830,380,50,1970,150,32,2220,184,10,640,50,6050,34669,37333,253707,9450,18008,126.1,71,37.2,524.8,4550,32000
477,NV,0,0,0,1,1992,21.9,143.1,13,12,53,5.1,7.3,70.6,6.2,1654.4,750.9,820,180,5510,640,100,2040,250,58,2719,305,20,750,90,7980,38498,49432,306933,12400,22374,131.9,72.9,40.4,554.2,5710,40490
478,NV,0,0,0,1,1996,20.3,138.8,16.1,10.8,50.4,7,7,69.5,6.9,1538.8,725.1,1011.4,220,6800,1000,120,2470,440,75,3402,432,30,930,130,10702,48966,62222,366397,14080,26125,127.8,71.3,38.4,538.9,6630,46840
479,NV,0,0,0,1,2000,10.9,115.2,15.7,4.5,36.8,5,5,62.3,8.5,897.4,590.4,585.1,140,7140,1190,60,2280,380,65,3861,648,20,1000,170,13061,61963,76208,427648,12880,30829,119.6,72.1,30.1,417.8,7450,51160
480,NV,0,0,0,1,2005,7.2,93.3,18.5,2.7,28.6,5.2,3.5,51.6,10.7,794.8,553.9,484.9,120,7090,1670,50,2170,470,58,3921,964,20,1000,240,16770,76001,90260,504187,12990,37268,117,73.9,25.8,348.6,8750,59010
481,NV,0,0,0,1,2006,8.4,93.7,18.6,3.3,26.9,5.2,3.9,53.4,10.7,856,504.9,486.3,150,7530,1700,60,2160,480,68,4287,980,20,1070,240,17387,80340,91348,523189,13320,40027,119.8,76.5,25.5,332.7,9340,62680
482,NV,0,0,0,1,2007,9,90.9,18.3,3.5,26.3,4.7,4.3,51.7,10.9,825.2,509.1,427.5,160,7660,1680,60,2210,430,76,4351,1005,20,1090,240,17778,84237,91877,538777,13630,41181,119.5,76.4,25.3,331,9600,64410
483,NV,0,0,0,1,2008,8.4,84.7,18.9,3.5,23.5,5.1,3.8,49.1,11.1,921.2,478.5,461.2,150,7360,1750,60,2040,470,67,4262,1027,20,1060,250,17591,86819,92601,548040,13020,39506,112.6,72.1,23.8,329.6,9200,61730
484,NV,0,0,0,1,2009,7.4,76.8,18.9,3.5,21.9,4.9,2.9,44,11.3,1200.8,497.9,428.3,130,6780,1740,60,1930,450,52,3879,1040,20,970,250,17782,88257,91795,549912,12790,37612,107.7,68.4,23.3,340.2,8800,59210
485,NV,0,0,0,1,2010,6.1,68.9,19.4,2.6,20.2,5.2,2.7,39,11.4,952.8,518.1,460.1,110,6050,1790,50,1770,480,49,3421,1051,10,860,260,17917,87830,92453,549471,12570,35934,103.6,65.4,22.9,349.7,8440,56940
